id,username,followers, following, location
3137042282,figueredolichi,180,430,Cnel.OViedo-Paraguay
712002502,RomiRamiirez,1396,1121,Tierra Guarani 
3086615362,Dani3GRS,324,888,
2471764140,beatsshirts,1652,3558,Paraguay
92837927,djjuanlu,2974,2681,Coronel oviedo
454777707,DavidSanabriaOr,318,935,Coronel Oviedo-Py
78099338,amarillawalter,324,464,Coronel Oviedo Paraguay
3039434253,CMUPPY,138,377,
321389272,lauramarlisecas,467,593,
2920912012,frojasmosqueira,932,767,CORONEL OVIEDO, PARAGUAY
96999262,partesiguales,1470,1097,
2877087327,bitfiyt,157,194,Paraguay
2943122440,oscar007narbz,120,688,
783210380,pattczl_,1240,1084,Yo soy de para1 ★☆☆☆
301555002,oscarchavezc,735,1785,Paraguay
2573572363,PyPaparazzi,1182,1583,Revista Argentina 
569252132,solisherman,454,2399,Cnel. Oviedo - Paraguay
188525626,MhiryGomez,3982,1256,Itá, Paraguay
2896459461,RHCPfanspy,372,950,
770013578,anacabrera93,424,285,
192710086,Bettaniaaa,1034,589,Paraguay
2867626726,BeaFatecha,136,386,
1724146105,pao_roo,534,558,Coronel Oviedo, Paraguay
1633586138,Oviedotoon,215,447,Coronel Oviedo - Paraguay
181222187,yanetmagali,8250,5551,Encarnacion, Paraguay
278762847,Ro_Rivb,407,717,Paraguay
1472033270,verispsosa,172,586,
413495373,belendiaz77,1179,1155,,
1470331165,futbolremeraspy,269,494,
1942898851,SamudioDenisse,1108,1023,
558796745,avalos_clari,298,332,coronel oviedo 
850154450,Bettina_95,495,638,,
2449110499,KatherineOrtiz_,3903,763,
593112695,diegomarcelo94,1377,589,Coronel Oviedo - Py
1365833768,sooeli_88,483,403,Coronel Oviedo, Pa
356623813,irmaUsulaqui,581,703,Py
872120504,eliasbogado15,693,565,
706916121,LizFabiolaGonza,690,522,
2750885729,rodriflores23,160,648,
611817594,LaTaquillaDVD,228,158,Coronel Oviedo - Paraguay
2740406272,cassuincele,346,620,
2722179830,XimeGayoso,372,1296,
627989057,quitos19insfran,282,641,Paraguay
1057834428,lolynavarro92,468,542,
2608787935,greenzitcho,120,634,Barueri, São Paulo
2594280722,IbarrolaXisco,109,477,
1973342208,vivianyime,288,1135,Lejos 
425134511,macoritto94,733,679,Coronel Oviedo - Paraguay
888907633,humanospy,812,905,Coronel Oviedo - Paraguay
104614250,AnttoFreese,1245,504,Santa Rita-Paraguay
429024103,CynthiaCnelA,1994,703,Paraguay
1898850378,laivaldi,799,617,
513237492,Tabarisdisco,2386,2028,Villarrica - Paraguay
2176486088,clauca_7,311,270,,
110229351,tivahq,1183,1236,Asunción, Paraguay
1549558008,cerristas_bsas,8789,4874,
2396483190,Larazonpy,1597,1910,Coronel Oviedo
1871508698,MarlyVillamayor,202,255,
1013241374,AndreaGoiris1,283,256,
497155910,EmiliaaOrtiz,1351,1741, Paraguay 
1748464363,Avila95Ivan,683,1361,
275551864,ndechicare,1418,849,San lorenzo
2359950043,Ale_montiel22,228,789,
1212111931,adriandino95,354,347,
937485378,GabiiAguiar18,263,343,
109720141,IvanaNunhez,1305,599,Coronel Oviedo - Paraguay
924588156,_koCoronel,443,408,Paraguay-Cnel.Oviedo
354641697,ivanchoAndino,1003,458,Coronel Oviedo
829611097,MorisBenitez,989,772,
796887098,pam_endez,3135,2699,
954282914,MonicaVeera,1161,414,Coronel Oviedo-Paraguay
447481572,mariaojeda09,2812,1114,Coronel Oviedo - Paraguay
174865201,djalvarobenitez,1756,557,coronel oviedo, paraguay
445713436,nilseiturbe,1707,792,Paraguay
245416499,josedmereles12,526,505,Paraguay
1589831564,ro_balansa,175,256,coronel oviedo
556356134,_nickypaez,776,496,
154651126,ortegarodrigo14,781,682,Coronel Oviedo
1410375325,kriscovicho,1223,889,Coronel Oviedo - Paraguay
1152954272,MaggiGaona,899,808,Asuncion - PARAGUAY
326372391,alexischamo28,125,227,
1682123246,heey_rubia,1124,774,Paraguay
1388432180,hijadelbosque,1723,1661,Puerto Bertoni
711670856,FerreiraMaga,929,632,Cnel. Oviedo, Paraguay
168326992,pepiidomii,268,808,,
1496764490,ferjbarret,441,338,,
1137769051,JessicaaOrtiizz,935,405,Coronel Oviedo, New york
849534349,_ClauFarias,1204,1173,Lambaré - Paraguay 
1689922676,etheelsmith,982,658,
